葉符「狂いの落葉」,Shizuha Aki
秋符「オータムスカイ」,Minoriko Aki
秋符「秋の空と乙女の心」,Minoriko Aki
豊符「オヲトシハーベスター」,Minoriko Aki
豊作「穀物神の約束」,Minoriko Aki
厄符「バッドフォーチュン」,Hina Kagiyama
厄符「厄神様のバイオリズム」,Hina Kagiyama
疵符「ブロークンアミュレット」,Hina Kagiyama
疵痕「壊されたお守り」,Hina Kagiyama
悪霊「ミスフォーチュンズホイール」,Hina Kagiyama
悲運「大鐘婆の火」,Hina Kagiyama
創符「ペインフロー」,Hina Kagiyama
創符「流刑人形」,Hina Kagiyama
光学「オプティカルカモフラージュ」,Nitori Kawashiro
光学「ハイドロカモフラージュ」,Nitori Kawashiro
洪水「ウーズフラッディング」,Nitori Kawashiro
洪水「デリューヴィアルメア」,Nitori Kawashiro
漂溺「光り輝く水底のトラウマ」,Nitori Kawashiro
水符「河童のポロロッカ」,Nitori Kawashiro
水符「河童のフラッシュフラッド」,Nitori Kawashiro
水符「河童の幻想大瀑布」,Nitori Kawashiro
河童「お化けキューカンバー」,Nitori Kawashiro
河童「のびーるアーム」,Nitori Kawashiro
河童「スピン・ザ・セファリックプレート」,Nitori Kawashiro
岐符「天の八衢」,Aya Shameimaru
岐符「サルタクロス」,Aya Shameimaru
風神「風神木の葉隠れ」,Aya Shameimaru
風神「天狗颪」,Aya Shameimaru
風神「二百十日」,Aya Shameimaru
「幻想風靡」,Aya Shameimaru
「幻想風靡」,Aya Shameimaru
「無双風神」,Aya Shameimaru
塞符「山神渡御」,Aya Shameimaru
塞符「天孫降臨」,Aya Shameimaru
塞符「天上天下の照國」,Aya Shameimaru
秘術「グレイソーマタージ」,Sanae Kochiya
秘術「忘却の祭儀」,Sanae Kochiya
秘術「一子相伝の弾幕」,Sanae Kochiya
奇跡「白昼の客星」,Sanae Kochiya
奇跡「客星の明るい夜」,Sanae Kochiya
奇跡「客星の明るすぎる夜」,Sanae Kochiya
開海「海が割れる日」,Sanae Kochiya
開海「モーゼの奇跡」,Sanae Kochiya
開海「モーゼの奇跡」,Sanae Kochiya
準備「神風を喚ぶ星の儀式」,Sanae Kochiya
準備「サモンタケミナカタ」,Sanae Kochiya
奇跡「神の風」,Sanae Kochiya
大奇跡「八坂の神風」,Sanae Kochiya
神祭「エクスパンデッド・オンバシラ」,Kanako Yasaka
奇祭「目処梃子乱舞」,Kanako Yasaka
奇祭「目処梃子乱舞」,Kanako Yasaka
筒粥「神の粥」,Kanako Yasaka
忘穀「アンリメンバードクロップ」,Kanako Yasaka
神穀「ディバイニングクロップ」,Kanako Yasaka
贄符「御射山御狩神事」,Kanako Yasaka
神秘「葛井の清水」,Kanako Yasaka
神秘「ヤマトトーラス」,Kanako Yasaka
天流「お天水の奇跡」,Kanako Yasaka
天竜「雨の源泉」,Kanako Yasaka
「マウンテン・オブ・フェイス」,Kanako Yasaka
「風神様の神徳」,Kanako Yasaka
神符「水眼の如き美しき源泉」,Kanako Yasaka
神符「杉で結ぶ古き縁」,Kanako Yasaka
神符「神が歩かれた御神渡り」,Kanako Yasaka
開宴「二拝二拍一拝」,Suwako Moriya
土着神「手長足長さま」,Suwako Moriya
神具「洩矢の鉄の輪」,Suwako Moriya
源符「厭い川の翡翠」,Suwako Moriya
蛙狩「蛙は口ゆえ蛇に呑まるる」,Suwako Moriya
土着神「七つの石と七つの木」,Suwako Moriya
土着神「ケロちゃん風雨に負けず」,Suwako Moriya
土着神「宝永四年の赤蛙」,Suwako Moriya
「諏訪大戦　〜 土着神話 vs 中央神話」,Suwako Moriya
祟符「ミシャグジさま」,Suwako Moriya
