怪奇「釣瓶落としの怪」,Kisume
罠符「キャプチャーウェブ」,Yamame Kurodani
蜘蛛「石窟の蜘蛛の巣」,Yamame Kurodani
瘴符「フィルドミアズマ」,Yamame Kurodani
瘴気「原因不明の熱病」,Yamame Kurodani
妬符「グリーンアイドモンスター」,Parsee Mizuhashi
嫉妬「緑色の眼をした見えない怪物」,Parsee Mizuhashi
花咲爺「華やかなる仁者への嫉妬」,Parsee Mizuhashi
花咲爺「シロの灰」,Parsee Mizuhashi
舌切雀「謙虚なる富者への片恨」,Parsee Mizuhashi
舌切雀「大きな葛籠と小さな葛籠」,Parsee Mizuhashi
恨符「丑の刻参り」,Parsee Mizuhashi
恨符「丑の刻参り七日目」,Parsee Mizuhashi
鬼符「怪力乱神」,Yuugi Hoshiguma
怪輪「地獄の苦輪」,Yuugi Hoshiguma
枷符「咎人の外さぬ枷」,Yuugi Hoshiguma
力業「大江山嵐」,Yuugi Hoshiguma
力業「大江山颪」,Yuugi Hoshiguma
四天王奥義「三歩必殺」,Yuugi Hoshiguma
四天王奥義「三歩必殺」,Yuugi Hoshiguma
想起「テリブルスーヴニール」,Satori Komeiji
想起「恐怖催眠術」,Satori Komeiji
想起「二重黒死蝶」,Satori Komeiji
想起「飛行虫ネスト」,Satori Komeiji
想起「波と粒の境界」,Satori Komeiji
想起「戸隠山投げ」,Satori Komeiji
想起「百万鬼夜行」,Satori Komeiji
想起「濛々迷霧」,Satori Komeiji
想起「風神木の葉隠れ」,Satori Komeiji
想起「天狗のマクロバースト」,Satori Komeiji
想起「鳥居つむじ風」,Satori Komeiji
想起「春の京人形」,Satori Komeiji
想起「ストロードールカミカゼ」,Satori Komeiji
想起「リターンイナニメトネス」,Satori Komeiji
想起「マーキュリポイズン」,Satori Komeiji
想起「プリンセスウンディネ」,Satori Komeiji
想起「賢者の石」,Satori Komeiji
想起「のびーるアーム」,Satori Komeiji
想起「河童のポロロッカ」,Satori Komeiji
想起「光り輝く水底のトラウマ」,Satori Komeiji
猫符「キャッツウォーク」,Rin Kaenbyou
猫符「怨霊猫乱歩」,Rin Kaenbyou
呪精「ゾンビフェアリー」,Rin Kaenbyou
呪精「怨霊憑依妖精」,Rin Kaenbyou
恨霊「スプリーンイーター」,Rin Kaenbyou
屍霊「食人怨霊」,Rin Kaenbyou
贖罪「旧地獄の針山」,Rin Kaenbyou
贖罪「昔時の針と痛がる怨霊」,Rin Kaenbyou
「死灰復燃」,Rin Kaenbyou
「小悪霊復活せし」,Rin Kaenbyou
妖怪「火焔の車輪」,Rin Kaenbyou
核熱「ニュークリアフュージョン」,Utsuho Reiuji
核熱「ニュークリアエクスカーション」,Utsuho Reiuji
核熱「核反応制御不能」,Utsuho Reiuji
爆符「プチフレア」,Utsuho Reiuji
爆符「メガフレア」,Utsuho Reiuji
爆符「ギガフレア」,Utsuho Reiuji
爆符「ペタフレア」,Utsuho Reiuji
焔星「フィクストスター」,Utsuho Reiuji
焔星「プラネタリーレボリューション」,Utsuho Reiuji
焔星「十凶星」,Utsuho Reiuji
「地獄極楽メルトダウン」,Utsuho Reiuji
「ヘルズトカマク」,Utsuho Reiuji
「地獄の人工太陽」,Utsuho Reiuji
「サブタレイニアンサン」,Utsuho Reiuji
秘法「九字刺し」,Sanae Kochiya
奇跡「ミラクルフルーツ」,Sanae Kochiya
神徳「五穀豊穣ライスシャワー」,Sanae Kochiya
表象「夢枕にご先祖総立ち」,Koishi Komeiji
表象「弾幕パラノイア」,Koishi Komeiji
本能「イドの解放」,Koishi Komeiji
抑制「スーパーエゴ」,Koishi Komeiji
反応「妖怪ポリグラフ」,Koishi Komeiji
無意識「弾幕のロールシャッハ」,Koishi Komeiji
復燃「恋の埋火」,Koishi Komeiji
深層「無意識の遺伝子」,Koishi Komeiji
「嫌われ者のフィロソフィ」,Koishi Komeiji
「サブタレイニアンローズ」,Koishi Komeiji
